# torch 2.12.0.dev20260408+cu128 | NVIDIA RTX PRO 6000 Blackwell Server Edition | cap (12, 0) | driver 12.8
# ===== decode + prefill shapes (uniform routing) =====
             tag       T       Rp   drop |    cap       cos     relL2   maxrel   nf |  eagerms  graphms    memMB | capture
# ===== pathological routings (T=4096, topk=6) =====
# ===== M2-seg verdict =====
       decode-B1       1     1024      0 |    128  1.000000  0.00e+00 0.00e+00    0 |    0.177    0.113    941.1 | OK
       decode-B8       8     1024      0 |    128  1.000000  0.00e+00 0.00e+00    0 |    0.178    0.115    941.1 | OK
      decode-B32      32     1024      0 |    128  1.000000  0.00e+00 0.00e+00    0 |    0.176    0.115    942.4 | OK
      decode-B64      64     1024      0 |    128  1.000000  0.00e+00 0.00e+00    0 |    0.179    0.116    956.3 | OK
    prefill-2048    2048    24576      0 |   3072  1.000000  0.00e+00 0.00e+00    0 |    2.938    2.876   3088.0 | OK
    prefill-8192    8192    98304      0 |  12288  1.000000  0.00e+00 0.00e+00    0 |   13.374   13.314   9721.3 | OK
   prefill-16384   16384   196608      0 |  24576  1.000000  0.00e+00 0.00e+00    0 |   26.747   26.565  18568.9 | OK
   prefill-65536   65536   786432      0 |  98304  1.000000  0.00e+00 0.00e+00    0 |  102.803  102.771  71648.2 | OK
    all->expert0    4096    49152  18432 |   6144  1.000000  0.00e+00 0.00e+00    0 |    5.797    5.728   4091.7 | OK
         uniform    4096    49152      0 |   6144  1.000000  0.00e+00 0.00e+00    0 |    5.828    5.763   5299.7 | OK
   empty-experts    4096    49152  12288 |   6144  1.000000  0.00e+00 0.00e+00    0 |    5.791    5.726   4293.1 | OK
   near-capacity    4096    49152      0 |   6144  1.000000  0.00e+00 0.00e+00    0 |    5.812    5.749   5299.7 | OK
# capture OK 12/12; graph==eager (cos>0.9999, nonfin=0) 12/12
# M2-SEG PASS
