B,prompt,gen,ttft_s,total_s,decode_s,tpot_ms,prefill_tps,decode_tps,out_tps,total_tps
1,128,16,0.0087,0.1124,0.1037,6.912,14738,154,142,1282
1,128,32,0.0087,0.2235,0.2148,6.928,14738,149,143,716
1,128,64,0.0087,0.4453,0.4366,6.930,14738,147,144,431
1,128,128,0.0087,0.8893,0.8806,6.934,14738,145,144,288
1,128,256,0.0087,1.7761,1.7674,6.931,14738,145,144,216
1,128,512,0.0087,3.5491,3.5404,6.928,14738,145,144,180
1,128,1024,0.0087,7.0682,7.0595,6.901,14738,145,145,163
1,512,16,0.0162,0.1168,0.1005,6.702,31546,159,137,4522
1,512,32,0.0162,0.2286,0.2124,6.852,31546,151,140,2379
1,512,64,0.0162,0.4478,0.4315,6.850,31546,148,143,1286
1,512,128,0.0162,0.8865,0.8703,6.853,31546,147,144,722
1,512,256,0.0162,1.7304,1.7142,6.722,31546,149,148,444
1,512,512,0.0162,3.4515,3.4353,6.723,31546,149,148,297
1,512,1024,0.0162,6.8974,6.8812,6.726,31546,149,148,223
1,2048,16,0.0648,0.1645,0.0997,6.646,31584,161,97,12545
1,2048,32,0.0648,0.2729,0.2081,6.712,31584,154,117,7621
1,2048,64,0.0648,0.4899,0.4251,6.747,31584,151,131,4311
1,2048,128,0.0648,0.9234,0.8586,6.760,31584,149,139,2356
1,2048,256,0.0648,1.7915,1.7267,6.771,31584,148,143,1286
1,2048,512,0.0648,3.5293,3.4645,6.780,31584,148,145,725
1,2048,1024,0.0648,7.0173,6.9525,6.796,31584,147,146,438
1,8192,16,0.3007,0.4020,0.1013,6.753,27246,158,40,20420
1,8192,32,0.3007,0.5155,0.2148,6.929,27246,149,62,15955
1,8192,64,0.3007,0.7425,0.4418,7.013,27246,145,86,11119
1,8192,128,0.3007,1.1956,0.8949,7.046,27246,143,107,6959
1,8192,256,0.3007,2.1034,1.8027,7.070,27246,142,122,4016
1,8192,512,0.3007,3.9264,3.6258,7.095,27246,141,130,2217
1,8192,1024,0.3007,7.5712,7.2705,7.107,27246,141,135,1217
8,128,16,0.0454,0.1460,0.1006,6.706,22559,1272,877,7891
8,128,32,0.0454,0.2588,0.2134,6.885,22559,1200,989,4946
8,128,64,0.0454,0.4733,0.4279,6.792,22559,1197,1082,3245
8,128,128,0.0454,0.9070,0.8616,6.784,22559,1189,1129,2258
8,128,256,0.0454,1.7795,1.7341,6.800,22559,1181,1151,1726
8,128,512,0.0454,3.5402,3.4948,6.839,22559,1172,1157,1446
8,128,1024,0.0454,7.1404,7.0950,6.935,22559,1155,1147,1291
8,512,16,0.1178,0.2174,0.0996,6.640,34783,1285,589,19434
8,512,32,0.1178,0.3271,0.2094,6.754,34783,1223,783,13304
8,512,64,0.1178,0.5477,0.4300,6.825,34783,1191,935,8413
8,512,128,0.1178,0.9896,0.8718,6.865,34783,1175,1035,5174
8,512,256,0.1178,1.8854,1.7677,6.932,34783,1159,1086,3259
8,512,512,0.1178,3.6844,3.5666,6.980,34783,1148,1112,2223
8,512,1024,0.1178,7.3657,7.2479,7.085,34783,1130,1112,1668
8,2048,16,0.4871,0.5947,0.1076,7.173,33635,1190,215,27765
8,2048,32,0.4871,0.7155,0.2283,7.366,33635,1121,358,23258
8,2048,64,0.4871,0.9587,0.4715,7.485,33635,1086,534,17625
8,2048,128,0.4871,1.4460,0.9589,7.550,33635,1068,708,12039
8,2048,256,0.4871,2.4216,1.9345,7.586,33635,1059,846,7611
8,2048,512,0.4871,4.3904,3.9033,7.638,33635,1049,933,4665
8,2048,1024,0.4871,8.4223,7.9352,7.757,33635,1032,973,2918
8,8192,16,2.3164,2.4679,0.1515,10.100,28292,845,52,26607
8,8192,32,2.3164,2.6272,0.3108,10.026,28292,824,97,25043
8,8192,64,2.3164,2.9434,0.6270,9.953,28292,817,174,22439
8,8192,128,2.3164,3.5762,1.2598,9.920,28292,813,286,18612
8,8192,256,2.3164,4.8535,2.5371,9.949,28292,807,422,13925
8,8192,512,2.3164,7.4231,5.1067,9.994,28292,802,552,9380
8,8192,1024,2.3164,12.6266,10.3102,10.078,28292,795,649,5839
32,128,16,0.1170,0.2186,0.1016,6.775,35019,5038,2342,21081
32,128,32,0.1170,0.3292,0.2122,6.845,35019,4826,3111,15555
32,128,64,0.1170,0.5508,0.4339,6.887,35019,4720,3718,11154
32,128,128,0.1170,0.9985,0.8815,6.941,35019,4647,4102,8205
32,128,256,0.1170,1.9183,1.8013,7.064,35019,4548,4270,6406
