tp,prompt,gen,batch,wall_s,ttft_s,tpot_ms,prefill_tps,decode_tps,total_tps,req_latency_s,gen_tok
2,512,32,1,15.244,0.5149,475.117,994.3,2.1,2.1,15.244,32
2,512,128,1,60.859,0.4893,475.35,1046.5,2.1,2.1,60.859,128
2,512,32,8,19.785,2.5725,555.255,1592.2,14.4,12.9,19.785,256
2,512,128,8,70.286,1.659,540.367,2469.0,14.8,14.6,70.286,1024
2,2048,32,1,15.463,0.5535,480.958,3699.9,2.1,2.1,15.463,32
2,2048,128,1,65.982,0.4986,515.617,4107.1,1.9,1.9,65.982,128
2,2048,32,8,18.695,1.6343,550.331,10024.9,14.5,13.7,18.695,256
2,512,512,1,241.321,0.4913,471.291,1042.1,2.1,2.1,241.321,512
4,512,32,1,16.455,0.5446,513.247,940.2,1.9,1.9,16.455,32
4,512,128,1,65.979,0.5599,515.111,914.4,1.9,1.9,65.979,128
4,512,32,8,20.5,2.8755,568.526,1424.5,14.1,12.5,20.5,256
4,512,128,8,74.272,1.7608,570.957,2326.2,14.0,13.8,74.272,1024
4,2048,32,1,16.541,0.6012,514.193,3406.2,1.9,1.9,16.541,32
4,2048,128,1,66.726,0.5511,521.061,3716.3,1.9,1.9,66.726,128
4,2048,32,8,20.145,1.8543,590.006,8835.7,13.6,12.7,20.145,256
4,512,512,1,261.651,0.5521,510.957,927.4,2.0,2.0,261.651,512
