policy,pct_moe_sparse,mask,dense_anchors,ppl,arc_c_accnorm,hellaswag_accnorm,winogrande_acc,mmlu_subset_acc,avg_primary,delta_vs_dense
dense,0,none,43,3.537,0.6500,0.7075,0.7675,0.8280,0.7383,0.0
a2_49,49,wanda_cal4,first-22,3.754,0.6075,0.6600,0.7350,0.7840,0.6966,-0.0417
anchor_24,44,wanda_cal4,first-24,3.894,0.6025,0.6500,0.7550,0.7740,0.6954,-0.0429
anchor_28,35,wanda_cal4,first-28,3.831,0.6175,0.6550,0.7575,0.7900,0.7050,-0.0333
anchor_30,30,wanda_cal4,first-30,3.719,0.6375,0.6625,0.7775,0.7880,0.7164,-0.0219
a3_recon_reio1,49,wanda_cal4+recon_denseio,first-22,6.708,0.4575,0.5950,0.7025,0.7960,0.6378,-0.1005
a3_recon_reio2,49,wanda_cal4+recon_sparseio,first-22,6.117,0.5125,0.6250,0.7300,0.7900,0.6644,-0.0739
a3_scale_reio2,49,wanda_cal4+scaleonly,first-22,3.887,0.5925,0.6550,0.7500,0.7880,0.6964,-0.0419
a_first31,28,wanda_cal4,first-31,3.787,0.6425,0.6850,0.7775,0.7960,0.7252,-0.0131
b_mid30,30,wanda_cal4,mid-30(sparse9-21),5.061,0.5925,0.6725,0.7125,0.6200,0.6494,-0.0889
b_suf30,30,wanda_cal4,suffix-30(sparse0-12),3.995,0.5000,0.6200,0.6750,0.5900,0.5963,-0.1420
c_down49,49,wanda_cal4+down_only,first-22,3.620,0.6450,0.7000,0.7825,0.8140,0.7354,-0.0029
c_gateup49,49,wanda_cal4+gateup_only,first-22,3.541,0.6100,0.6700,0.7525,0.7900,0.7056,-0.0327
a2_74,74,wanda_cal4,first-11,5.394,0.5400,0.6275,0.7150,0.6160,0.6246,-0.1137
a2_100_wanda,100,wanda_cal4,none,6.887,0.4125,0.5475,0.6550,0.4220,0.5092,-0.2291
magnitude_100,100,magnitude,none,7.722,0.4225,0.5725,0.6275,0.4160,0.5096,-0.2287
