B,prompt,gen,ttft_s,total_s,decode_s,tpot_ms,prefill_tps,decode_tps,out_tps,total_tps
1,128,16,0.0092,0.1244,0.1152,7.678,13916,139,129,1158
1,128,32,0.0092,0.2477,0.2385,7.693,13916,134,129,646
1,128,64,0.0092,0.4945,0.4853,7.703,13916,132,129,388
1,128,128,0.0092,0.9877,0.9785,7.705,13916,131,130,259
1,128,256,0.0092,1.9732,1.9640,7.702,13916,130,130,195
1,128,512,0.0092,3.9084,3.8992,7.631,13916,131,131,164
1,128,1024,0.0092,7.7308,7.7216,7.548,13916,133,132,149
1,512,16,0.0129,0.1242,0.1113,7.422,39814,144,129,4251
1,512,32,0.0129,0.2442,0.2314,7.464,39814,138,131,2227
1,512,64,0.0129,0.4864,0.4735,7.516,39814,135,132,1184
1,512,128,0.0129,0.9614,0.9485,7.469,39814,135,133,666
1,512,256,0.0129,1.9171,1.9043,7.468,39814,134,134,401
1,512,512,0.0129,3.8326,3.8198,7.475,39814,134,134,267
1,512,1024,0.0129,7.6684,7.6555,7.483,39814,134,134,200
1,2048,16,0.0396,0.1515,0.1119,7.457,51661,143,106,13624
1,2048,32,0.0396,0.2721,0.2324,7.497,51661,138,118,7645
1,2048,64,0.0396,0.5134,0.4738,7.520,51661,135,125,4113
1,2048,128,0.0396,0.9971,0.9574,7.539,51661,134,128,2182
1,2048,256,0.0396,1.9615,1.9219,7.537,51661,133,131,1175
1,2048,512,0.0396,3.8967,3.8570,7.548,51661,133,131,657
1,2048,1024,0.0396,7.7722,7.7326,7.559,51661,132,132,395
1,8192,16,0.1918,0.3052,0.1134,7.562,42712,141,52,26892
1,8192,32,0.1918,0.4306,0.2388,7.704,42712,134,74,19098
1,8192,64,0.1918,0.6820,0.4902,7.782,42712,131,94,12105
1,8192,128,0.1918,1.1839,0.9921,7.812,42712,129,108,7027
1,8192,256,0.1918,2.1889,1.9971,7.832,42712,128,117,3860
1,8192,512,0.1918,4.2022,4.0104,7.848,42712,128,122,2071
1,8192,1024,0.1918,8.2370,8.0452,7.864,42712,127,124,1119
8,128,16,0.0348,0.1456,0.1109,7.391,29461,1155,879,7911
8,128,32,0.0348,0.2658,0.2310,7.452,29461,1108,963,4816
8,128,64,0.0348,0.5016,0.4668,7.410,29461,1097,1021,3062
8,128,128,0.0348,0.9757,0.9410,7.409,29461,1088,1049,2099
8,128,256,0.0348,1.9270,1.8922,7.421,29461,1082,1063,1594
8,128,512,0.0348,3.8467,3.8119,7.460,29461,1075,1065,1331
8,128,1024,0.0348,7.7684,7.7337,7.560,29461,1059,1055,1186
8,512,16,0.0653,0.1755,0.1101,7.342,62698,1162,729,24073
8,512,32,0.0653,0.2957,0.2304,7.433,62698,1111,866,14716
8,512,64,0.0653,0.5362,0.4708,7.473,62698,1087,955,8595
8,512,128,0.0653,1.0188,0.9534,7.507,62698,1074,1005,5026
8,512,256,0.0653,1.9938,1.9285,7.563,62698,1062,1027,3081
