B,prompt,gen,ttft_s,total_s,decode_s,tpot_ms,prefill_tps,decode_tps,out_tps,total_tps
1,128,16,0.0087,0.1138,0.1051,7.009,14695,152,141,1265
1,128,32,0.0087,0.2263,0.2176,7.019,14695,147,141,707
1,128,64,0.0087,0.4509,0.4422,7.019,14695,145,142,426
1,128,128,0.0087,0.9004,0.8917,7.021,14695,144,142,284
1,128,256,0.0087,1.7991,1.7904,7.021,14695,143,142,213
1,128,512,0.0087,3.5973,3.5886,7.023,14695,143,142,178
1,128,1024,0.0087,7.0922,7.0835,6.924,14695,145,144,162
1,512,16,0.0149,0.1177,0.1028,6.851,34317,156,136,4486
1,512,32,0.0149,0.2286,0.2137,6.892,34317,150,140,2380
1,512,64,0.0149,0.4491,0.4342,6.891,34317,147,143,1283
1,512,128,0.0149,0.8895,0.8746,6.886,34317,146,144,720
1,512,256,0.0149,1.7706,1.7557,6.885,34317,146,145,434
1,512,512,0.0149,3.5361,3.5211,6.891,34317,145,145,290
1,512,1024,0.0149,7.0757,7.0608,6.902,34317,145,145,217
1,2048,16,0.0415,0.1420,0.1006,6.704,49401,159,113,14534
1,2048,32,0.0415,0.2505,0.2090,6.742,49401,153,128,8305
1,2048,64,0.0415,0.4671,0.4256,6.756,49401,150,137,4522
1,2048,128,0.0415,0.9008,0.8593,6.766,49401,149,142,2416
1,2048,256,0.0415,1.7681,1.7266,6.771,49401,148,145,1303
1,2048,512,0.0415,3.5062,3.4647,6.780,49401,148,146,730
1,2048,1024,0.0415,6.9870,6.9455,6.789,49401,147,147,440
1,8192,16,0.1929,0.2948,0.1020,6.797,42477,157,54,27841
1,8192,32,0.1929,0.4095,0.2166,6.987,42477,148,78,20085
1,8192,64,0.1929,0.6352,0.4423,7.021,42477,145,101,12998
1,8192,128,0.1929,1.0893,0.8964,7.058,42477,143,118,7638
1,8192,256,0.1929,1.9962,1.8033,7.072,42477,142,128,4232
1,8192,512,0.1929,3.8138,3.6209,7.086,42477,141,134,2282
1,8192,1024,0.1929,7.4566,7.2637,7.100,42477,141,137,1236
8,128,16,0.0290,0.1305,0.1015,6.764,35320,1262,981,8831
8,128,32,0.0290,0.2387,0.2097,6.764,35320,1221,1073,5363
8,128,64,0.0290,0.4550,0.4260,6.763,35320,1202,1125,3376
8,128,128,0.0290,0.8893,0.8603,6.774,35320,1190,1152,2303
8,128,256,0.0290,1.7616,1.7327,6.795,35320,1182,1163,1744
8,128,512,0.0290,3.5239,3.4950,6.839,35320,1172,1162,1453
8,128,1024,0.0290,7.1337,7.1047,6.945,35320,1153,1148,1292
8,512,16,0.0656,0.1669,0.1013,6.754,62409,1263,767,25302
8,512,32,0.0656,0.2772,0.2115,6.824,62409,1210,924,15701
8,512,64,0.0656,0.4981,0.4325,6.865,62409,1184,1028,9251
8,512,128,0.0656,0.9414,0.8758,6.896,62409,1169,1088,5439
8,512,256,0.0656,1.8372,1.7715,6.947,62409,1156,1115,3344
8,512,512,0.0656,3.6393,3.5736,6.993,62409,1146,1126,2251
8,512,1024,0.0656,7.3274,7.2618,7.099,62409,1128,1118,1677
8,2048,16,0.2830,0.3941,0.1111,7.406,57891,1152,325,41897
8,2048,32,0.2830,0.5133,0.2303,7.428,57891,1112,499,32419
8,2048,64,0.2830,0.7547,0.4717,7.487,57891,1085,678,22388
8,2048,128,0.2830,1.2409,0.9579,7.543,57891,1069,825,14028
8,2048,256,0.2830,2.2160,1.9330,7.580,57891,1059,924,8318
8,2048,512,0.2830,4.1824,3.8994,7.631,57891,1050,979,4897
8,2048,1024,0.2830,8.2136,7.9306,7.752,57891,1033,997,2992
8,8192,16,1.4970,1.6491,0.1522,10.144,43780,841,78,39818
8,8192,32,1.4970,1.8077,0.3107,10.024,43780,824,142,36396
8,8192,64,1.4970,2.1247,0.6277,9.964,43780,816,241,31086
8,8192,128,1.4970,2.7594,1.2624,9.940,43780,811,371,24121
8,8192,256,1.4970,4.0399,2.5429,9.972,43780,805,507,16729
8,8192,512,1.4970,6.6149,5.1180,10.016,43780,800,619,10526
8,8192,1024,1.4970,11.8285,10.3316,10.099,43780,793,693,6233
32,128,16,0.0669,0.1686,0.1018,6.784,61258,5032,3036,27327
32,128,32,0.0669,0.2796,0.2127,6.863,61258,4813,3662,18311
32,128,64,0.0669,0.5011,0.4343,6.893,61258,4716,4087,12261
32,128,128,0.0669,0.9488,0.8820,6.945,61258,4644,4317,8634
32,128,256,0.0669,1.8673,1.8005,7.061,61258,4550,4387,6581
32,128,512,0.0669,3.7893,3.7225,7.285,61258,4401,4324,5405
32,128,1024,0.0669,7.9535,7.8867,7.709,61258,4155,4120,4635
32,512,16,0.2606,0.3681,0.1075,7.169,62873,4761,1391,45898
32,512,32,0.2606,0.4896,0.2291,7.389,62873,4471,2091,35553
32,512,64,0.2606,0.7326,0.4720,7.492,62873,4339,2796,25161
32,512,128,0.2606,1.2235,0.9629,7.582,62873,4254,3348,16739
32,512,256,0.2606,2.2281,1.9675,7.716,62873,4164,3677,11030
32,512,512,0.2606,4.3124,4.0519,7.929,62873,4044,3799,7598
32,512,1024,0.2606,8.7517,8.4911,8.300,62873,3859,3744,5616
32,2048,16,1.0976,1.2497,0.1521,10.138,59710,3367,410,52853
32,2048,32,1.0976,1.4088,0.3112,10.040,59710,3290,727,47245
32,2048,64,1.0976,1.7275,0.6300,9.999,59710,3251,1186,39122
32,2048,128,1.0976,2.3673,1.2697,9.998,59710,3226,1730,29414
32,2048,256,1.0976,3.6679,2.5703,10.080,59710,3187,2233,20101
32,2048,512,1.0976,6.3367,5.2391,10.253,59710,3127,2586,12928
32,2048,1024,1.0976,11.9537,10.8561,10.612,59710,3018,2741,8224
32,8192,16,5.9586,6.2664,0.3078,20.517,43994,1664,82,41915
32,8192,32,5.9586,6.5629,0.6043,19.493,43994,1695,156,40099
32,8192,64,5.9586,7.1535,1.1949,18.966,43994,1714,286,36932
32,8192,128,5.9586,8.3270,2.3684,18.649,43994,1729,492,31973
32,8192,256,5.9586,10.6878,4.7292,18.546,43994,1732,766,25294
32,8192,512,5.9586,15.5007,9.5421,18.673,43994,1717,1057,17969
32,8192,1024,5.9586,25.3742,19.4156,18.979,43994,1688,1291,11623
64,128,16,0.1282,0.2353,0.1071,7.139,63907,9563,4353,39173
64,128,32,0.1282,0.3567,0.2286,7.373,63907,8960,5741,28704
64,128,64,0.1282,0.5933,0.4651,7.383,63907,8807,6904,20712
64,128,128,0.1282,1.0735,0.9453,7.443,63907,8666,7631,15262
64,128,256,0.1282,2.0825,1.9544,7.664,63907,8383,7867,11801
64,128,512,0.1282,4.2404,4.1122,8.047,63907,7968,7728,9659
64,128,1024,0.1282,9.1383,9.0102,8.808,63907,7274,7172,8068
64,512,16,0.5101,0.6396,0.1295,8.634,64236,7907,1601,52831
64,512,32,0.5101,0.7792,0.2691,8.681,64236,7610,2628,44681
64,512,64,0.5101,1.0526,0.5424,8.610,64236,7551,3891,35023
64,512,128,0.5101,1.6041,1.0940,8.614,64236,7488,5107,25535
64,512,256,0.5101,2.7521,2.2420,8.792,64236,7308,5953,17860
64,512,512,0.5101,5.1993,4.6892,9.176,64236,6988,6302,12605
64,512,1024,0.5101,10.6728,10.1627,9.934,64236,6449,6140,9211
64,2048,16,2.1863,2.3931,0.2068,13.786,59950,4952,428,55198
64,2048,32,2.1863,2.5962,0.4098,13.220,59950,4997,789,51275
